"keys","en","zh_CN","zh_TW","ja","es_ES","es_419","pt_BR","pt_PT","fr","de","da","id","nb","sv","nl","vi","ms","ko","_id","_group","_note"
"Settings_SoundEffects","SE","音效","音效","SE","Efectos de sonido","Efectos de sonido","Efeitos sonoros","Efeitos sonoros","Effets sonores","Soundeffekte","Lydeffekter","Efek suara","Lydeffekter","Ljudeffekter","Geluidseffecten","Hiệu ứng âm thanh","Kesan bunyi","효과음","200102","Settings","音效音量设置"
"Settings_Music","BGM","音乐","音樂","BGM","Música","Música","Música","Música","Musique","Musik","Musik","Musik","Musikk","Musik","Muziek","Nhạc","Muzik","음악","200112","Settings","BGM 音量设置"
"Settings_PlayBgmInDesktop","Play BGM in Desktop Mode","桌宠模式播放 BGM","桌寵模式播放 BGM","デスクトップモードでBGMを再生","Reproducir BGM en modo mascota de escritorio","Reproducir BGM en modo mascota de escritorio","Tocar BGM no modo mascote de área de trabalho","Tocar BGM no modo mascote de ambiente de trabalho","Jouer la musique en mode compagnon de bureau","BGM im Desktop-Modus abspielen","Afspil BGM i skrivebordstilstand","Putar BGM dalam Mode Desktop","Spill BGM i skrivebordsmodus","Spela BGM i skrivbordsläge","BGM afspelen in bureaubladmodus","Phát BGM ở chế độ thú cưng màn hình nền","Mainkan BGM dalam Mod Desktop","BGM 재생","200113","Settings","桌宠模式音乐开关"
"Settings_Language","Language","语言","語言","言語","Idioma","Idioma","Idioma","Idioma","Langue","Sprache","Sprog","Bahasa","Språk","Språk","Taal","Ngôn ngữ","Bahasa","언어","200103","Settings","语言设置项"
"Settings_Language_System","System","跟随系统","跟隨系統","システムに合わせる","Sistema","Sistema","Sistema","Sistema","Système","System","System","Sistem","System","System","Systeem","Hệ thống","Sistem","시스템","200104","Settings","语言选项"
"Settings_Language_English","English","English","English","English","English","English","English","English","Anglais","Englisch","Engelsk","Inggris","Engelsk","Engelska","Engels","Tiếng Anh","Bahasa Inggeris","영어","200105","Settings","语言选项"
"Settings_Language_SimplifiedChinese","简体中文","简体中文","简体中文","简体中文","Chino simplificado","Chino simplificado","Chinês simplificado","Chinês simplificado","Chinois simplifié","Vereinfachtes Chinesisch","Forenklet kinesisk","China Sederhana","Forenklet kinesisk","Förenklad kinesiska","Vereenvoudigd Chinees","Tiếng Trung giản thể","Bahasa Cina Ringkas","중국어 간체","200106","Settings","语言选项"
"Settings_Language_TraditionalChinese","繁體中文","繁體中文","繁體中文","繁體中文","Chino tradicional","Chino tradicional","Chinês tradicional","Chinês tradicional","Chinois traditionnel","Traditionelles Chinesisch","Traditionelt kinesisk","China Tradisional","Tradisjonell kinesisk","Traditionell kinesiska","Traditioneel Chinees","Tiếng Trung phồn thể","Bahasa Cina Tradisional","중국어 번체","200107","Settings","语言选项"
"Settings_Language_Japanese","日本語","日本語","日本語","日本語","Japonés","Japonés","Japonês","Japonês","Japonais","Japanisch","Japanisch","Jepang","Japansk","Japanska","Japans","Tiếng Nhật","Bahasa Jepun","일본어","200108","Settings","语言选项"
"Settings_Language_SpanishSpain","Spanish (Spain)","西班牙语（西班牙）","西班牙語（西班牙）","スペイン語（スペイン）","Español (España)","Español (España)","Espanhol (Espanha)","Espanhol (Espanha)","Espagnol (Espagne)","Spanisch (Spanien)","Spansk (Spanien)","Spanyol (Spanyol)","Spansk (Spania)","Spanska (Spanien)","Spaans (Spanje)","Tiếng Tây Ban Nha (Tây Ban Nha)","Sepanyol (Sepanyol)","스페인어 (스페인)","200118","Settings","语言选项"
"Settings_Language_SpanishLatinAmerica","Spanish (Latin America)","西班牙语（拉丁美洲）","西班牙語（拉丁美洲）","スペイン語（ラテンアメリカ）","Español (Latinoamérica)","Español (Latinoamérica)","Espanhol (América Latina)","Espanhol (América Latina)","Espagnol (Amérique latine)","Spanisch (Lateinamerika)","Spansk (Latinamerika)","Spanyol (Amerika Latin)","Spansk (Latin-Amerika)","Spanska (Latinamerika)","Spaans (Latijns-Amerika)","Tiếng Tây Ban Nha (Mỹ Latinh)","Sepanyol (Amerika Latin)","스페인어 (라틴아메리카)","200119","Settings","语言选项"
"Settings_Language_PortugueseBrazil","Portuguese (Brazil)","葡萄牙语（巴西）","葡萄牙語（巴西）","ポルトガル語（ブラジル）","Portugués (Brasil)","Portugués (Brasil)","Português (Brasil)","Português (Brasil)","Portugais (Brésil)","Portugiesisch (Brasilien)","Portugisisk (Brasilien)","Portugis (Brasil)","Portugisisk (Brasil)","Portugisiska (Brasilien)","Portugees (Brazilië)","Tiếng Bồ Đào Nha (Brasil)","Portugis (Brazil)","포르투갈어 (브라질)","200120","Settings","语言选项"
"Settings_Language_PortuguesePortugal","Portuguese (Portugal)","葡萄牙语（葡萄牙）","葡萄牙語（葡萄牙）","ポルトガル語（ポルトガル）","Portugués (Portugal)","Portugués (Portugal)","Português (Portugal)","Português (Portugal)","Portugais (Portugal)","Portugiesisch (Portugal)","Portugisisk (Portugal)","Portugis (Portugal)","Portugisisk (Portugal)","Portugisiska (Portugal)","Portugees (Portugal)","Tiếng Bồ Đào Nha (Bồ Đào Nha)","Portugis (Portugal)","포르투갈어 (포르투갈)","200121","Settings","语言选项"
"Settings_ArmAppearance","Arm Appearance","手臂外观","手臂外觀","腕の外観","Apariencia del brazo","Apariencia del brazo","Aparência do braço","Aspeto do braço","Apparence du bras","Armaussehen","Armudseende","Tampilan Lengan","Armutseende","Armutseende","Armuiterlijk","Ngoại hình cánh tay","Paparan Lengan","팔 외형","200116","Settings","玩家手臂外观设置"
"Settings_ArmAppearance_Tone","Arm {0}","手臂{0}","手臂{0}","腕{0}","Brazo {0}","Brazo {0}","Braço {0}","Braço {0}","Bras {0}","Arm {0}","Arm {0}","Lengan {0}","Arm {0}","Arm {0}","Arm {0}","Cánh tay {0}","Lengan {0}","팔 {0}","200117","Settings","手臂外观下拉菜单选项"
"Settings_ShowOverFullscreenApps","Show Over Fullscreen Apps","在全屏应用上方显示","顯示於全螢幕應用程式上方","全画面アプリの上に表示","Mostrar sobre aplicaciones a pantalla completa","Mostrar sobre aplicaciones a pantalla completa","Mostrar sobre aplicativos em tela cheia","Mostrar sobre aplicações em ecrã inteiro","Afficher par-dessus les applications en plein écran","Über Vollbild-Apps anzeigen","Vis over fuldskærmsapps","Tampilkan di atas aplikasi layar penuh","Vis over fullskjermsapper","Visa över helskärmsappar","Weergeven boven apps op volledig scherm","Hiển thị trên ứng dụng toàn màn hình","Papar di atas aplikasi skrin penuh","전체 화면 앱 위에 표시","200109","Settings","全屏应用显示设置"
"Settings_EnhancedAlwaysOnTop","Enhanced Always On Top","增强置顶","增強置頂","強化最前面表示","Mantener siempre al frente mejorado","Mantener siempre al frente mejorado","Sempre no topo aprimorado","Sempre no topo melhorado","Toujours au premier plan amélioré","Erweitertes Immer im Vordergrund","Forbedret altid øverst","Selalu di Atas yang Ditingkatkan","Forbedret alltid øverst","Förbättrat alltid överst","Verbeterd altijd bovenaan","Tăng cường luôn ở trên","Dipertingkatkan Sentiasa Di Atas","강화된 항상 위","200110","Settings","窗口置顶增强设置"
"Settings_ProactiveInteractionHints","Proactive Interaction Hints","主动操作提示","主動操作提示","操作ヒントを自動表示","Sugerencias de interacción proactivas","Sugerencias de interacción proactivas","Dicas proativas de interação","Sugestões proativas de interação","Conseils d'interaction proactifs","Proaktive Interaktionshinweise","Proaktive interaktionstip","Petunjuk Interaksi Proaktif","Proaktive interaksjonstips","Proaktiva interaktionstips","Proactieve interactietips","Gợi ý tương tác chủ động","Petua Interaksi Proaktif","능동적 상호작용 힌트","200111","Settings","扑克模式无操作五秒后的主动提示"
"Settings_PokerGuideOverlay","Poker Beginner Tutorial","显示扑克新手教程","顯示撲克新手教學","ポーカー初心者ガイド","Tutorial de póquer para principiantes","Tutorial de póquer para principiantes","Tutorial de pôquer para iniciantes","Tutorial de pôquer para iniciantes","Tutoriel de poker pour débutants","Poker-Tutorial für Einsteiger","Poker-tutorial for begyndere","Tutorial Poker untuk Pemula","Pokeropplæring for nybegynnere","Pokerhandledning för nybörjare","Pokertutorial voor beginners","Hướng dẫn poker cho người mới","Tutorial Poker untuk Pemula","포커 초보자 튜토리얼","200206","Settings","扑克新手教程显示开关"
"Settings_AvoidObscuringDogEyes","Avoid Obscuring Dog's Eyes","避免遮挡小狗眼神","避免遮擋小狗眼神","犬の目を隠さない","Evitar ocultar los ojos del perro","Evitar ocultar los ojos del perro","Evitar esconder os olhos do cão","Evitar ocultar os olhos do cão","Éviter de masquer les yeux du chien","Hundeaugen nicht verdecken","Undgå at skjule hundens øjne","Jangan menutupi mata anjing","Unngå å skjule hundens øyne","Undvik att skymma hundens ögon","Hondenogen niet verbergen","Tránh che mắt chú chó","Elakkan menutup mata anjing","강아지 눈 가리지 않기","200205","Settings","扑克模式下的眼镜显示体验设置"
"Settings_RightClickQuickModeSwitch","Enable Right-click Quick Mode Switch","启用右键快速切换模式","啟用右鍵快速切換模式","右クリックでクイックモード切替を有効化","Activar cambio rápido de modo con clic derecho","Activar cambio rápido de modo con clic derecho","Ativar troca rápida de modo com botão direito","Ativar mudança rápida de modo com botão direito","Activer le changement rapide de mode par clic droit","Schnellen Moduswechsel per Rechtsklick aktivieren","Aktivér hurtigt tilstandsskift med højreklik","Aktifkan Pergantian Mode Cepat Klik Kanan","Aktiver rask modusbytte med høyreklikk","Aktivera snabbt lägesbyte med högerklick","Snelle moduswissel met rechtermuisklik inschakelen","Bật chuyển đổi chế độ nhanh bằng chuột phải","Dayakan Pertukaran Mod Pantas Klik Kanan","오른쪽 클릭 빠른 모드 전환 활성화","200114","Settings","扑克主场景右键切换桌宠模式"
"Settings_PreventAccidentalDrag","Prevent Accidental Drag","防止误拖拽","防止誤拖拽","誤操作ドラッグを防止","Evitar arrastres accidentales","Evitar arrastres accidentales","Evitar arrastos acidentais","Evitar arrastamentos acidentais","Empêcher les glissements accidentels","Versehentliches Ziehen verhindern","Undgå utilsigtet træk","Cegah Seret Tidak Sengaja","Forhindre utilsiktet draing","Förhindra oavsiktlig dragning","Onbedoeld slepen voorkomen","Ngăn kéo nhầm","Cegah Seret Tidak Sengaja","실수로 끌기 방지","200115","Settings","仅扑克模式的拖拽保护开关"
"Settings_DesktopPet","Desktop Pet","桌宠","桌面寵物","デスクトップコンパニオン","Mascota de escritorio","Mascota de escritorio","Mascote de área de trabalho","Mascote de ambiente de trabalho","Compagnon de bureau","Desktop-Begleiter","Skrivebordskæledyr","Peliharaan Desktop","Skrivebordskjæledyr","Skrivbordskompis","Bureaubladmaatje","Thú cưng màn hình nền","Haiwan Peliharaan Desktop","데스크톱 펫","200201","Settings","设置页分组标题"
"Settings_DesktopPetScale","Desktop Pet Size","桌宠大小","桌寵大小","デスクトップペットのサイズ","Tamaño de la mascota","Tamaño de la mascota","Tamanho do mascote","Tamanho do mascote","Taille du compagnon","Größe des Desktop-Begleiters","Størrelse på skrivebordskæledyr","Ukuran Peliharaan Desktop","Størrelse på skrivebordskjæledyr","Storlek på skrivbordskompis","Grootte bureaubladmaatje","Kích thước thú cưng","Saiz Haiwan Desktop","데스크톱 펫 크기","200207","Settings","桌宠五档倍率设置"
"Settings_DesktopPetScaleApply","Apply","应用","套用","適用","Aplicar","Aplicar","Aplicar","Aplicar","Appliquer","Anwenden","Anvend","Terapkan","Bruk","Använd","Toepassen","Áp dụng","Guna","적용","200208","Settings","桌宠倍率应用按钮"
"Settings_DesktopPetScaleConfirmTitle","Keep this size?","保留这个大小？","保留這個大小？","このサイズを維持しますか？","¿Mantener este tamaño?","¿Mantener este tamaño?","Manter este tamanho?","Manter este tamanho?","Conserver cette taille ?","Diese Größe beibehalten?","Behold denne størrelse?","Pertahankan ukuran ini?","Beholde denne størrelsen?","Behålla den här storleken?","Deze grootte behouden?","Giữ kích thước này?","Kekalkan saiz ini?","이 크기를 유지할까요?","200209","Settings","桌宠倍率确认标题"
"Settings_DesktopPetScaleConfirmMessage","Keep the current desktop pet size? It will be restored in {0} seconds.","是否保留当前桌宠大小？将在 {0} 秒后恢复。","是否保留目前桌寵大小？將在 {0} 秒後恢復。","現在のデスクトップペットのサイズを維持しますか？{0}秒後に元に戻ります。","¿Mantener el tamaño actual de la mascota? Se restaurará en {0} segundos.","¿Mantener el tamaño actual de la mascota? Se restaurará en {0} segundos.","Manter o tamanho atual do mascote? Ele será restaurado em {0} segundos.","Manter o tamanho atual do mascote? Será restaurado dentro de {0} segundos.","Conserver la taille actuelle du compagnon ? Elle sera rétablie dans {0} secondes.","Aktuelle Größe des Desktop-Begleiters beibehalten? Sie wird in {0} Sekunden zurückgesetzt.","Behold den aktuelle størrelse? Den gendannes om {0} sekunder.","Pertahankan ukuran peliharaan saat ini? Ukuran akan dipulihkan dalam {0} detik.","Beholde gjeldende størrelse? Den gjenopprettes om {0} sekunder.","Behålla den aktuella storleken? Den återställs om {0} sekunder.","Huidige grootte behouden? Deze wordt over {0} seconden hersteld.","Giữ kích thước thú cưng hiện tại? Kích thước sẽ được khôi phục sau {0} giây.","Kekalkan saiz semasa? Saiz akan dipulihkan dalam {0} saat.","현재 데스크톱 펫 크기를 유지할까요? {0}초 후 복원됩니다.","200210","Settings","桌宠倍率十秒确认说明"
"Settings_DesktopPetScaleKeep","Keep","保留","保留","維持","Mantener","Mantener","Manter","Manter","Conserver","Beibehalten","Behold","Pertahankan","Behold","Behåll","Behouden","Giữ","Kekalkan","유지","200211","Settings","桌宠倍率确认保留按钮"
"Settings_DesktopPetScaleRestore","Restore","恢复","恢復","元に戻す","Restaurar","Restaurar","Restaurar","Restaurar","Rétablir","Zurücksetzen","Gendan","Pulihkan","Gjenopprett","Återställ","Herstellen","Khôi phục","Pulihkan","복원","200212","Settings","桌宠倍率确认恢复按钮"
"Settings_OtherUiScale","Other Interface Scale","其他界面缩放","其他介面縮放","その他のUIサイズ","Escala de otras interfaces","Escala de otras interfaces","Escala de outras interfaces","Escala de outras interfaces","Échelle des autres interfaces","Skalierung anderer Oberflächen","Skalering af andre brugerflader","Skala Antarmuka Lain","Skalering av andre grensesnitt","Skalning av andra gränssnitt","Schaal van andere interfaces","Tỷ lệ giao diện khác","Skala Antara Muka Lain","기타 인터페이스 크기","200213","Settings","系统面板、扑克面板和信息面板统一倍率"
"Settings_OtherUiScaleConfirmTitle","Keep this interface size?","保留这个界面大小？","保留這個介面大小？","このUIサイズを維持しますか？","¿Mantener este tamaño de interfaz?","¿Mantener este tamaño de interfaz?","Manter este tamanho de interface?","Manter este tamanho de interface?","Conserver cette taille d'interface ?","Diese Oberflächengröße beibehalten?","Behold denne brugerfladestørrelse?","Pertahankan ukuran antarmuka ini?","Beholde denne grensesnittstørrelsen?","Behålla den här gränssnittsstorleken?","Deze interfacegrootte behouden?","Giữ kích thước giao diện này?","Kekalkan saiz antara muka ini?","이 인터페이스 크기를 유지할까요?","200214","Settings","其他界面倍率确认标题"
"Settings_OtherUiScaleConfirmMessage","Keep the current interface size? It will be restored in {0} seconds.","是否保留当前其他界面大小？将在 {0} 秒后恢复。","是否保留目前其他介面大小？將在 {0} 秒後恢復。","現在のUIサイズを維持しますか？{0}秒後に元に戻ります。","¿Mantener el tamaño actual de la interfaz? Se restaurará en {0} segundos.","¿Mantener el tamaño actual de la interfaz? Se restaurará en {0} segundos.","Manter o tamanho atual da interface? Ele será restaurado em {0} segundos.","Manter o tamanho atual da interface? Será restaurado dentro de {0} segundos.","Conserver la taille actuelle de l'interface ? Elle sera rétablie dans {0} secondes.","Aktuelle Oberflächengröße beibehalten? Sie wird in {0} Sekunden zurückgesetzt.","Behold den aktuelle brugerfladestørrelse? Den gendannes om {0} sekunder.","Pertahankan ukuran antarmuka saat ini? Ukuran akan dipulihkan dalam {0} detik.","Beholde gjeldende grensesnittstørrelse? Den gjenopprettes om {0} sekunder.","Behålla den aktuella gränssnittsstorleken? Den återställs om {0} sekunder.","Huidige interfacegrootte behouden? Deze wordt over {0} seconden hersteld.","Giữ kích thước giao diện hiện tại? Kích thước sẽ được khôi phục sau {0} giây.","Kekalkan saiz antara muka semasa? Saiz akan dipulihkan dalam {0} saat.","현재 인터페이스 크기를 유지할까요? {0}초 후 복원됩니다.","200215","Settings","其他界面倍率十秒确认说明"
"Settings_Gameplay","Game Experience","游戏体验","遊戲體驗","ゲーム体験","Experiencia de juego","Experiencia de juego","Experiência de jogo","Experiência de jogo","Expérience de jeu","Spielerlebnis","Spiloplevelse","Pengalaman Bermain","Spillopplevelse","Spelupplevelse","Spelervaring","Trải nghiệm chơi","Pengalaman Permainan","게임 경험","200451","Settings","设置页分组标题"
"Settings_AutoHidePanelOnFocusLoss","Auto-hide Panel on Focus Loss","失焦时自动隐藏面板","失去焦點時自動隱藏面板","フォーカス喪失時にパネルを自動で隠す","Ocultar automáticamente el panel al perder el foco","Ocultar automáticamente el panel al perder el foco","Ocultar painel automaticamente ao perder o foco","Ocultar automaticamente o painel ao perder o foco","Masquer automatiquement le panneau à la perte du focus","Panel bei Fokusverlust automatisch ausblenden","Skjul panelet automatisk ved fokus-tab","Sembunyikan Panel Otomatis saat Kehilangan Fokus","Skjul panelet automatisk når fokus mistes","Dölj panelen automatiskt vid fokusförlust","Paneel automatisch verbergen bij focusverlies","Tự động ẩn bảng khi mất tiêu điểm","Sembunyikan Panel Secara Automatik Apabila Hilang Fokus","포커스를 잃으면 패널 자동 숨기기","200202","Settings","桌宠面板行为设置"
"Settings_TongueInstantMode","Tongue Instant Mode","舌头即时模式","舌頭即時模式","舌の即時モード","Modo de lengua instantáneo","Modo de lengua instantáneo","Modo de língua instantâneo","Modo de língua instantâneo","Mode langue instantané","Sofortiger Zungenmodus","Øjeblikkelig tungestatus","Mode Lidah Instan","Umiddelbar tungemodus","Omedelbart tungläge","Directe tongmodus","Chế độ lưỡi tức thì","Mod Lidah Serta-merta","즉시 혀 모드","200203","Settings","桌宠舌头反馈设置"
"Settings_AlwaysShowBlindBoxBubble","Always Show Blind Box Bubble","始终显示盲盒气泡","永遠顯示盲盒氣泡","ブラインドボックスの吹き出しを常に表示","Mostrar siempre la burbuja de caja sorpresa","Mostrar siempre la burbuja de caja sorpresa","Sempre mostrar bolha da caixa surpresa","Mostrar sempre a bolha da caixa surpresa","Toujours afficher la bulle de boîte surprise","Blindbox-Sprechblase immer anzeigen","Vis altid blindboksboblen","Tampilkan Gelembung Kotak Misteri Selalu","Vis alltid blindboksboblen","Visa alltid blindbox-bubblan","Blindbox-bubbel altijd weergeven","Luôn hiển thị bong bóng hộp mù","Sentiasa Papar Buih Kotak Misteri","블라인드 박스 말풍선 항상 표시","200204","Settings","盲盒气泡显示设置"
"Settings_Convenience","Convenience","便利功能","便利功能","便利機能","Funciones prácticas","Funciones prácticas","Recursos práticos","Funcionalidades práticas","Pratique","Komfort","Bekvemmelighed","Kemudahan","Bekvemmelighet","Bekvämlighet","Gemak","Tiện ích","Kemudahan","편의 기능","200301","Settings","设置页分组标题"
"Settings_AutoEquipNewOutfits","Auto-equip New Outfits","自动装备新装扮","自動裝備新裝扮","新しい衣装を自動装備","Equipar automáticamente nuevos atuendos","Equipar automáticamente nuevos atuendos","Equipar novos trajes automaticamente","Equipar automaticamente novos visuais","Équiper automatiquement les nouvelles tenues","Neue Outfits automatisch ausrüsten","Udstyr automatisk nye outfits","Kenakan Otomatis Pakaian Baru","Utstyr nye antrekk automatisk","Utrusta nya kläder automatiskt","Nieuwe outfits automatisch uitrusten","Tự động trang bị trang phục mới","Lengkapkan Pakaian Baharu Secara Automatik","새 의상 자동 장착","200302","Settings","获得装扮后的自动装备设置"
"Settings_SnapToWindowsTaskbar","Snap to Windows Taskbar","吸附到 Windows 任务栏","吸附到 Windows 工作列","Windows タスクバーに吸着","Ajustar a la barra de tareas de Windows","Ajustar a la barra de tareas de Windows","Ajustar à barra de tarefas do Windows","Ajustar à barra de tarefas do Windows","Ancrer à la barre des tâches Windows","An Windows-Taskleiste andocken","Fastgør til Windows-proceslinjen","Tempel ke Taskbar Windows","Fest til Windows-oppgavelinjen","Fäst vid Windows aktivitetsfält","Vastmaken aan de Windows-taakbalk","Hít vào thanh tác vụ Windows","Lekat pada Bar Tugas Windows","Windows 작업 표시줄에 맞추기","200303","Settings","桌宠吸附设置"
"Settings_PrivacyAndSafety","Privacy & Safety","隐私与安全","隱私與安全","プライバシーと安全","Privacidad y seguridad","Privacidad y seguridad","Privacidade e segurança","Privacidade e segurança","Confidentialité et sécurité","Datenschutz und Sicherheit","Privatliv og sikkerhed","Privasi & Keamanan","Personvern og sikkerhet","Sekretess och säkerhet","Privacy en veiligheid","Quyền riêng tư & An toàn","Privasi & Keselamatan","개인정보 및 안전","200401","Settings","设置页分组标题"
"Settings_StreamerSafeMode","Streamer Safe Mode","直播安全模式","直播安全模式","配信セーフモード","Modo seguro para transmisiones","Modo seguro para transmisiones","Modo seguro para transmissões","Modo seguro para transmissões","Mode sécurisé pour le streaming","Sicherer Streamer-Modus","Sikker streamingtilstand","Mode Aman Streamer","Sikker streamermodus","Säkert streamerläge","Veilige streamermodus","Chế độ an toàn cho streamer","Mod Selamat Penstrim","스트리머 안전 모드","200402","Settings","安全文案开关"
"Settings_Display","Display","显示","顯示","表示","Pantalla","Pantalla","Exibição","Apresentação","Affichage","Anzeige","Visning","Tampilan","Visning","Visning","Weergave","Hiển thị","Paparan","표시","200501","Settings","设置页分组标题"
"Settings_CounterDisplay","Counter Display","计数器显示","計數器顯示","カウンター表示","Visualización del contador","Visualización del contador","Exibição do contador","Apresentação do contador","Affichage du compteur","Zähleranzeige","Tællervisning","Tampilan Penghitung","Tellervisning","Räknarvisning","Tellerweergave","Hiển thị bộ đếm","Paparan Kaunter","카운터 표시","200502","Settings","桌宠计数器显示模式"
"Settings_CounterDisplay_Clock","Clock","时钟","時鐘","時計","Reloj","Reloj","Relógio","Relógio","Horloge","Uhr","Ur","Jam","Klokke","Klocka","Klok","Tạm dừng","Jam","시계","200503","Settings","计数器显示模式选项"
"Settings_CounterDisplay_Chips","Points","点数","點數","ポイント","Puntos","Puntos","Pontos","Pontos","Points","Punkte","Point","Poin","Poeng","Poäng","Punten","Điểm","Mata","포인트","200504","Settings","计数器显示模式选项"
"Settings_CounterDisplay_Nickname","Nickname","昵称","暱稱","ニックネーム","Apodo","Apodo","Apelido","Apelido","Pseudo","Spitzname","Kaldenavn","Nama panggilan","Kallenavn","Smeknamn","Bijnaam","Biệt danh","Nama panggilan","닉네임","200506","Settings","计数器显示模式选项"
"Settings_CounterDisplay_Hidden","Hidden","隐藏","隱藏","非表示","Oculto","Oculto","Oculto","Oculto","Masqué","Ausgeblendet","Skjult","Tersembunyi","Skjult","Dold","Verborgen","Ẩn","Tersembunyi","숨김","200505","Settings","计数器显示模式选项"
"Settings_AutoHideCounter","Auto-hide Counter","计数器自动隐藏","計數器自動隱藏","カウンターを自動的に隠す","Ocultar automáticamente el contador","Ocultar automaticamente o contador","Ocultar automaticamente o contador","Ocultar automaticamente o contador","Masquer automatiquement le compteur","Zähler automatisch ausblenden","Skjul tæller automatisk","Sembunyikan Penghitung Otomatis","Skjul telleren automatisk","Dölj räknaren automatiskt","Teller automatisch verbergen","Tự động ẩn bộ đếm","Sembunyikan Kaunter Secara Automatik","카운터 자동 숨기기","200509","Settings","桌宠计数器自动隐藏设置"
"Settings_PokerFrameRate","Poker Frame Rate","扑克画面帧率","撲克畫面幀率","ポーカー画面のフレームレート","FPS del póquer","FPS del póquer","FPS do pôquer","FPS do póquer","IPS du poker","Poker-FPS","Poker-FPS","FPS Poker","Poker-FPS","Poker-FPS","Poker-FPS","FPS poker","FPS Poker","포커 화면 FPS","200507","Settings","扑克 SubViewport 重绘帧率设置"
"Settings_VerticalSync","Vertical Sync","垂直同步","垂直同步","垂直同期","Sincronización vertical","Sincronización vertical","Sincronização vertical","Sincronização vertical","Synchronisation verticale","Vertikale Synchronisierung","Lodret synkronisering","Sinkronisasi vertikal","Vertikal synkronisering","Vertikal synkronisering","Verticale synchronisatie","Đồng bộ dọc","Penyegerakan menegak","수직 동기화","200508","Settings","垂直同步开关"
"Settings_CenterCounterOnTaskbar","Center Counter within Taskbar Height","计数器按任务栏高度居中","計數器依工作列高度置中","タスクバーの高さに合わせてカウンターを中央揃え","Centra el contador según la altura de la barra de tareas","Centra el contador según la altura de la barra de tareas","Centralizar contador pela altura da barra de tarefas","Centrar o contador pela altura da barra de tarefas","Centrer le compteur selon la hauteur de la barre des tâches","Zähler innerhalb der Taskleistenhöhe zentrieren","Centrér tælleren efter proceslinjens højde","Tengahkan Penghitung dalam Tinggi Taskbar","Sentrer telleren innenfor høyden på oppgavelinjen","Centrera räknaren inom aktivitetsfältets höjd","Teller binnen taakbalkhoogte centreren","Căn giữa bộ đếm theo chiều cao thanh tác vụ","Tengah Kaunter Mengikut Ketinggian Bar Tugas","작업 표시줄 높이 내에서 카운터 가운데 맞춤","200506","Settings","计数器布局设置"
